epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time,learning_rate,peak_gpu_memory_mb
1,0.8493651859707303,0.7248666666666667,0.6281233332633972,0.7932,74.04912159987725,0.001,1498.716796875
2,0.6302465240372552,0.7837555555555555,0.571277309703827,0.8044,58.12355490005575,0.001,506.2607421875
3,0.5940805727905697,0.7935777777777778,0.5607915557861328,0.8118,58.43208630010486,0.001,506.2607421875
4,0.5787452251222398,0.7994888888888889,0.56562452917099,0.809,58.79984220000915,0.001,506.2607421875
5,0.5736027118894789,0.7996,0.5525958292961121,0.811,58.50096470001154,0.001,506.2607421875
6,0.5707297402699788,0.8030888888888889,0.5666270774364471,0.8026,59.61238990002312,0.001,506.2607421875
7,0.5635893662346734,0.8049777777777778,0.5400837423801422,0.8168,60.12566659995355,0.001,506.2607421875
8,0.5594389489703708,0.8054666666666667,0.5578375796794891,0.8056,58.97488119988702,0.001,506.2607421875
9,0.5563466239770254,0.8075333333333333,0.5348681264400482,0.8216,58.05227980017662,0.001,506.2607421875
10,0.5529475939008924,0.8075111111111111,0.5470008390426636,0.809,58.6710141999647,0.001,506.2607421875
11,0.49754304085042744,0.8276444444444444,0.46728771777153016,0.8394,59.224966699955985,0.0001,1547.7998046875
12,0.4389182455115848,0.8481111111111111,0.43498092522621157,0.8532,58.97263710014522,0.0001,538.30029296875
13,0.4032946968873342,0.8602444444444445,0.41335749583244324,0.8578,59.63345970003866,0.0001,538.30029296875
14,0.3762012959692213,0.8695777777777778,0.39305152349472045,0.8656,59.18199700000696,0.0001,538.30029296875
15,0.3604019552760654,0.8735333333333334,0.3844191316127777,0.8658,58.34898340003565,0.0001,538.30029296875
